id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
597420714125723682,Big loft 100m from beach,424323112,Hannah,Wijk 07 Scheveningen,Scheveningen Badplaats,52.106812,4.272468,Entire home/apt,180,2,26,2024-07-14,0.84,2,360,4,0518 4214 D19D 4505 D327
597623365365421460,Komfortables schönes Einfamilienhaus in Strandnähe,292482633,Hendrik,Wijk 13 Vogelwijk,Vogelwijk,52.08223,4.25616,Entire home/apt,400,10,1,2023-08-21,0.06,1,364,0,0518AF54A08E5DB9D56F
597729985972035289,Een heerlijke kamer in de duinen en bij het strand,452697258,Marcel Ellen,Wijk 15 Kijkduin en Ockenburgh,Ockenburgh,52.05636,4.2136,Private room,131,2,0,,,1,166,0,Exempt
598807009507064166,Big private room in Den Haag,356284071,Tymen,Wijk 20 Valkenboskwartier,Heesterbuurt,52.06867,4.27034,Private room,110,21,6,2023-05-19,0.18,1,216,0,0518 7DB0 34E9 CEC4 0599
602891377544397233,♡ one bedroom condo in vibrant Den Haag ♡,453826509,Anne,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.06347,4.30109,Private room,97,2,48,2024-10-05,1.50,1,0,13,0518 6B02 FA69 5209 393A
604902400413070514,Tiny house near the beach.,11590217,Marjon Wilhelmina,Wijk 13 Vogelwijk,Vogelwijk,52.08053,4.25934,Entire home/apt,125,1,36,2024-09-01,2.60,2,239,34,0518 1435 A487 8E94 4780
605541884004824686,Modern 2 bedroom apartment near Scheveningen beach,9165668,Robert,Wijk 07 Scheveningen,Scheveningen Badplaats,52.10678,4.28003,Entire home/apt,202,4,15,2024-11-04,0.46,32,307,4,Exempt
605603025179190157,Unique spacious family house in the city center,10390645,Marija,Wijk 27 Stationsbuurt,Rivierenbuurt-Noord,52.07725,4.32657,Entire home/apt,,5,8,2024-08-07,0.27,1,0,3,0518 8E8C AE9C AC3E 6707
605759340432868515,Cozy apartment for the whole family near the beach,9165668,Robert,Wijk 07 Scheveningen,Visserijbuurt,52.105259582636045,4.27828982624386,Entire home/apt,280,4,0,,,32,176,0,Exempt
606180365754735130,Beautiful family home near beach and parks,60124547,Ernst,Wijk 16 Kraayenstein en Vroondaal,Kraayenstein en Vroondaal,52.03993,4.23175,Entire home/apt,225,7,5,2024-08-17,0.17,1,357,3,0518 456D 0828 F92A 0715
608053529183731192,Lovely 1 bedroom Holiday home with patio,430694992,Auke And Marjan,Wijk 07 Scheveningen,Rijslag,52.10845,4.28848,Entire home/apt,529,1,37,2023-10-03,1.15,11,51,0,Exempt
610434736184689449,Sun filled apartment near beach <3,7968303,Diane,Wijk 07 Scheveningen,Visserijbuurt,52.10443,4.28393,Entire home/apt,215,4,7,2024-05-27,0.26,1,11,1,0518 E771 0C9E 1493 5BEF
610765255052324835,Comfortable & stylish apartment near beach,27985889,Merel,Wijk 12 Bomen- en Bloemenbuurt,Bloemenbuurt-Oost,52.074082,4.261622099999999,Entire home/apt,361,1,11,2024-11-17,0.49,1,356,7,0518 9CC8 1959 B404 4A52
616471006075334010,Beautiful Studio by the sea on A-location,104008868,Kevin,Wijk 02 Belgisch Park,Belgisch Park,52.10934,4.29085,Entire home/apt,279,3,14,2023-08-29,0.46,1,166,0,0518 FEE1 B7BD C63A CA60
617772427562245916,Prachtig herenhuis met veel ruimte,33513137,Ruud,Wijk 40 Wateringse Veld,Hoge Veld,52.0325,4.29177,Entire home/apt,230,14,4,2024-08-07,0.13,1,84,1,0518 5BAD D3E3 60B1 D7EE
620038814615216077,Charming 2-bedroom Apartment near Beach & City,457569599,Gijs,Wijk 04 Benoordenhout,Waalsdorp,52.10191,4.31821,Entire home/apt,160,10,8,2024-05-29,0.27,1,320,1,0518 A0D9 0F6B FB73 4A86
621020227052947203,Charming studio with patio,430694992,Auke And Marjan,Wijk 07 Scheveningen,Rijslag,52.11005,4.28689,Private room,199,1,11,2024-02-22,0.35,11,300,2,Exempt
621745722249658660,Private room in shared flat. note: there's cats.,99679439,Romina,Wijk 26 Bezuidenhout,Bezuidenhout-Oost,52.08863,4.33881,Private room,50,3,46,2024-11-18,1.75,1,53,18,0518 955B 8E50 3FE6 4AF4
622935720981412318,"Apartment with sunny garden, close to beach",300267010,Evelien,Wijk 20 Valkenboskwartier,Valkenboskwartier,52.07695,4.27548,Entire home/apt,190,4,6,2024-10-31,0.19,1,52,2,0518 499E 2D33 0622 3C61
623909263961727627,"Charming 19th century family home, newly renovated",2732890,Annie,Wijk 22 Zeeheldenkwartier,Zeeheldenkwartier,52.08043,4.29014,Entire home/apt,,2,5,2023-08-02,0.16,1,0,0,0518 FA8D D5F6 C701 5E3A
624311921066367397,Centrally located spacious appartment,458531993,Daan,Wijk 27 Stationsbuurt,Rivierenbuurt-Noord,52.07576,4.32576,Entire home/apt,,2,0,,,1,0,0,0518E524A64664579AFD
626711712305356222,Beach town urban oasis,11517776,Juultje,Wijk 21 Regentessekwartier,Koningsplein en omgeving,52.07691,4.28026,Entire home/apt,200,5,12,2024-08-27,0.40,1,64,5,0518 BC1B 4961 AF84 9900
626773297028147543,A cozy apartment close to the beach,459079815,Maciej,Wijk 09 Geuzen- en Statenkwartier,Geuzenkwartier,52.09429,4.26967,Entire home/apt,,4,8,2024-08-18,0.27,1,0,3,0518 E214 7DD2 5D6A 116E
627486756194841973,Family apartment with sunny garden (BBQ incl.),4855575,Anouk,Wijk 19 Vruchtenbuurt,Eykenduinen,52.065998,4.265967,Entire home/apt,123,3,12,2024-06-15,0.39,1,43,2,0518 A456 E2BF D3A1 0ED8
628094824463728568,Beach place for plant lovers,8771286,Ines,Wijk 07 Scheveningen,Scheveningen Badplaats,52.11064,4.28124,Entire home/apt,,7,2,2023-05-09,0.07,1,0,0,0518 1C01 7356 C274 13AE
630003099657245934,Design-loft met tuin in hipste wijk van Den Haag,16162192,Chantal,Wijk 22 Zeeheldenkwartier,Zeeheldenkwartier,52.079144,4.292379,Entire home/apt,,5,4,2023-07-30,0.14,1,0,0,0518 40F0 EEBE CD38 441E
631021458535304614,Cosy place near the sea🌞🌞🌞,61772807,Josee,Wijk 14 Bohemen en Meer en Bos,Bosjes van Pex,52.07088,4.24449,Entire home/apt,,5,2,2022-06-09,0.06,1,0,0,0518 5E4A 4DDE 81AB 5F65
631649159726764599,Rustig gelegen appartement dichtbij het strand.,460173306,Hidde-Jan,Wijk 13 Vogelwijk,Vogelwijk,52.082718,4.261731,Entire home/apt,175,3,3,2022-06-19,0.10,1,13,0,0518 4C14 D0A4 8AFF 0D4A
632460182393438384,Leuke studio in gezellige wijk.,2908456,Lies,Wijk 20 Valkenboskwartier,Valkenboskwartier,52.072296,4.277085,Entire home/apt,100,3,24,2024-12-22,0.77,1,52,9,0518 42DB 5B27 3DF7 44AC
